Type	Allocations	Bytes
 - ODataWriterVsSystemTextJson.Customer[]	13	131,352
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlStructuredType[]	13	1,304
 - System.Xml.XmlTextWriter.TagInfo[]	12	7,568
 - System.Diagnostics.Tracing.EventSource.OverideEventProvider	12	1,344
 - Microsoft.OData.ODataMediaTypeFormat[]	12	1,616
 - Interop.Advapi32.EtwEnableCallback	12	768
 - System.Xml.XmlTextWriter.Namespace[]	11	2,376
 - System.Xml.XmlTextWriter	11	1,672
 - System.Xml.XmlTextEncoder	11	528
 - System.IO.StringWriter	11	616
 - System.IO.StringReader	11	352
 - System.Net.IPAddress	10	400
 - System.Collections.Hashtable.bucket[]	10	2,736
 - System.Collections.Hashtable	10	720
 - System.Collections.Generic.ObjectEqualityComparer<>	10	240
 - System.UInt16[]	9	428
 - System.Text.UTF8Encoding	9	432
 - System.Text.DecoderNLS	9	504
 - System.Reflection.RuntimeAssembly.ManifestResourceStream	9	936
 - System.Reflection.RuntimeAssembly	9	432
 - System.Reflection.CustomAttributeRecord[]	9	1,128
 - System.Action<>	9	576
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlReference[]	9	472
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlEnumType	9	576
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsEnumTypeDefinition	9	720
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlTypeDefinition	8	384
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlSchema[]	8	416
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlInclude[]	8	416
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlExpressionBase[]	8	448
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsTypeDefinitionDefinition	8	576
 - Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsSchema[]	8	416
 - System.Text.RegularExpressions.RegexNode	7	448
 - System.Text.DecoderExceptionFallbackBuffer	7	392
 - System.Net.IPAddress[]	7	312
 - System.Globalization.CultureInfo	7	784
 - System.Collections.Generic.GenericEqualityComparer<>	7	168
 - Microsoft.OData.PropertyValueTypeInfo	7	336
 - Microsoft.OData.PropertySerializationInfo	7	448
 - Microsoft.OData.PropertyMetadataTypeInfo	7	560
 - Microsoft.OData.Edm.VersioningList<>.EmptyListEnumerator	7	168
 - Microsoft.OData.Edm.VersioningList<>.ArrayListEnumerator	7	224
 - Microsoft.OData.Edm.IEdmSchemaElement[]	7	1,192
 - Microsoft.OData.Edm.EdmStructuralProperty	7	336
 - Microsoft.OData.Edm.Csdl.Parsing.CsdlReferenceParser	7	1,008
