Name	Total (Allocations)	Self (Allocations)	Self Size (Bytes)
|| - Microsoft.OData.ODataWriterCore.CheckForNestedResourceInfoWithContent(Microsoft.OData.ODataPayloadKind, Microsoft.OData.ODataItem)	10,036	9	520
|| - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer.ValidatePropertyInfo(Microsoft.OData.ODataPropertyInfo, Microsoft.OData.Edm.IEdmStructuredType, bool, Microsoft.OData.IDuplicatePropertyNameChecker)	111	12	512
|| - Microsoft.OData.ODataMessage.GetStream(System.Func<System.IO.Stream>, bool)	7	7	506
|| - Microsoft.OData.TypeNameOracle.ResolveAndValidateTypeName(Microsoft.OData.Edm.IEdmModel, string, Microsoft.OData.Edm.EdmTypeKind, System.Nullable<bool>, Microsoft.OData.IWriterValidator)	46	8	488
|| - Microsoft.OData.ODataContextUrlInfo.Create(Microsoft.OData.ODataResourceTypeContext, Microsoft.OData.ODataVersion, bool, Microsoft.OData.ODataUri)	14	8	488
|| - Microsoft.OData.ODataWriterCore.ValidateResourceForResourceSet(Microsoft.OData.ODataResourceBase, ResourceBaseScope)	110,012	8	480
|| - Microsoft.OData.JsonLight.ODataJsonLightPropertySerializer.ResolveCollectionValueTypeName(Microsoft.OData.ODataCollectionValue, bool)	63	5	480
|| - Microsoft.OData.JsonLight.ODataJsonLightResourceSerializer.WriteResourceSetContextUri.AnonymousMethod__0()	26	12	480
|| - Microsoft.OData.Json.JsonWriterExtensions.WritePrimitiveValue(Microsoft.OData.Json.IJsonWriter, object)	6,366	5	470
|| - Microsoft.OData.ODataContextUriBuilder.cctor()	13	7	456
|| - Microsoft.OData.ODataSimplifiedOptions.GetODataSimplifiedOptions(System.IServiceProvider, System.Nullable<Microsoft.OData.ODataVersion>)	7	7	440
|| - Microsoft.OData.ODataPreferenceHeader.ParsePreferences()	10	6	424
|| - Microsoft.OData.ODataWriterCore.VerifyCanWriteStartResourceSet(bool, Microsoft.OData.ODataResourceSet)	6	6	424
|| - Microsoft.OData.ODataUri.get_ParameterAliasValueAccessor()	12	7	418
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.EndResource(Microsoft.OData.ODataResource)	120,011	7	408
|| - Microsoft.OData.JsonLight.ODataJsonLightOutputContext.CreateJsonWriter(System.IServiceProvider, System.IO.TextWriter, bool, Microsoft.OData.ODataMessageWriterSettings)	12	8	408
|| - Microsoft.OData.TypeNameOracle.ResolveAndValidateTypeForCollectionValue(Microsoft.OData.Edm.IEdmModel, Microsoft.OData.Edm.IEdmTypeReference, Microsoft.OData.ODataCollectionValue, bool, Microsoft.OData.IWriterValidator)	57	7	368
|| - Microsoft.OData.JsonLight.ODataJsonLightSerializer..ctor.AnonymousMethod__1()	7	7	368
|| - Microsoft.OData.ODataUri.set_ServiceRoot(System.Uri)	43	6	360
|| - Microsoft.OData.JsonLight.JsonMinimalMetadataTypeNameOracle.GetValueTypeNameForWriting(Microsoft.OData.ODataValue, Microsoft.OData.PropertySerializationInfo, bool)	7	7	360
|| - Microsoft.OData.JsonLight.JsonMinimalMetadataTypeNameOracle.GetResourceSetTypeNameForWriting(string, Microsoft.OData.ODataResourceSet, bool)	5,005	5	304
|| - Microsoft.OData.ODataWriterCore.ctor(Microsoft.OData.ODataOutputContext, Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmStructuredType, bool, bool, Microsoft.OData.IODataReaderWriterListener)	106	7	304
